id,info,code,year
1,Study Number 6612 - English Housing Survey -- 2008: Housing Stock Data,UKDA-6612-stata11,2008
2,Study Number 6804 - English Housing Survey -- 2009: Housing Stock Data,UKDA-6804-stata11,2009
3,Study Number 7039 - English Housing Survey -- 2010: Housing Stock Data,UKDA-7039-stata11,2010
4,Study Number 7386 - English Housing Survey -- 2011: Housing Stock Data,UKDA-7386-stata11,2011
5,Study Number 7511 - English Housing Survey -- 2012: Housing Stock Data,UKDA-7511-stata11,2012
6,Study Number 7802 - English Housing Survey -- 2013: Housing Stock Data,UKDA-7802-stata11,2013
7,Study Number 8010 - English Housing Survey -- 2014: Housing Stock Data,UKDA-8010-stata11,2014
8,Study Number 8186 - English Housing Survey -- 2015: Housing Stock Data,UKDA-8186-stata11,2015
9,Study Number 8350 - English Housing Survey -- 2016: Housing Stock Data,UKDA-8350-stata11,2016
10,Study Number 8494 - English Housing Survey -- 2017: Housing Stock Data,UKDA-8494-stata,2017
11,Study Number 8670 - English Housing Survey -- 2018: Housing Stock Data,UKDA-8670-stata,2018
12,Study Number 8923 - English Housing Survey -- 2019: Housing Stock Data,UKDA-8923-stata,2019
