EHS Band,EHS Period,Trans,SAP Band,SAP Period,England and Wales,Scotland,Northern Ireland,SAP Age,EHS2SAP,SAP2EHS
1,Pre 1850,Before 1900,1,Before 1900,Before 1900,Before 1919,Before 1919,A,0.00,1.00
2,1850-1899,Before 1900,2,1900 - 1929,1900 - 1929,1919 - 1929,1919 - 1929,B,0.00,1.00
3,1900-1918,1900 - 1929,3,1930 - 1949,1930 - 1949,1930 - 1949,1930 - 1949,C,0.00,1.00
4,1919-1944,1930 - 1949,4,1950 - 1966,1950 - 1966,1950 - 1964,1950 - 1973,D,0.4231,0.5769
5,1945-1964,1950 - 1966,5,1967 - 1975,1967 - 1975,1965 - 1975,1974 - 1977,E,0.25,0.75
6,1965-1974,1967 - 1975,6,1976 - 1982,1976 - 1982,1976 - 1983,1978 - 1985,F,0.2,0.8
7,1975-1980,1976 - 1982,7,1983 - 1990,1983 - 1990,1984 - 1991,1986 - 1991,G,0.1667,0.8333
8,1981-1990,1983 - 1990,8,1991 - 1995,1991 - 1995,1992 - 1998,1992 - 1999,H,0.2,0.8
9,1991-1995,1991 - 1995,9,1996 - 2002,1996 - 2002,1999 - 2002,2000 - 2006,I,0.00,1.00
10,1996-2002,1996 - 2002,10,2003 - 2006,2003 - 2006,2003 - 2007,n/a,J,0.00,1.00
11,Post 2002,2003 - 2006,-,-,2007 -,2008 -,2007 -,K,0.00,1.00
